File name,Contains,Buzz,Social,Date & time
Batlife_Ottenby_2022-05-01_22-58-24_0000270.wav,-,-,S,20220501 22:58
Batlife_Ottenby_2022-05-02_21-37-51_0000271.wav,Pipistrellus pygmaeus (Dvärgpipistrell),-,-,20220502 21:37
Batlife_Ottenby_2022-05-02_21-37-55_0000272.wav,-,-,S,20220502 21:37
Batlife_Ottenby_2022-05-02_21-43-12_0000273.wav,-,-,S,20220502 21:43
Batlife_Ottenby_2022-05-02_22-04-45_0000274.wav,Pipistrellus pygmaeus (Dvärgpipistrell),-,-,20220502 22:04
Batlife_Ottenby_2022-05-02_22-04-50_0000275.wav,-,-,S,20220502 22:04
Batlife_Ottenby_2022-05-02_22-06-53_0000276.wav,Pipistrellus pygmaeus (Dvärgpipistrell),B,-,20220502 22:06
Batlife_Ottenby_2022-05-02_22-06-58_0000277.wav,-,-,S,20220502 22:06
Batlife_Ottenby_2022-05-02_22-08-47_0000278.wav,Pipistrellus pygmaeus (Dvärgpipistrell),-,-,20220502 22:08
Batlife_Ottenby_2022-05-02_22-08-52_0000279.wav,-,-,S,20220502 22:08
Batlife_Ottenby_2022-05-02_22-36-46_0000280.wav,-,-,S,20220502 22:36
Batlife_Ottenby_2022-05-02_22-36-51_0000281.wav,-,-,S,20220502 22:36
Batlife_Ottenby_2022-05-02_22-40-26_0000282.wav,-,-,S,20220502 22:40
Batlife_Ottenby_2022-05-02_22-40-31_0000283.wav,-,-,-,20220502 22:40
Batlife_Ottenby_2022-05-02_22-40-37_0000284.wav,?,-,-,20220502 22:40
Batlife_Ottenby_2022-05-02_23-15-01_0000285.wav,Pipistrellus pygmaeus (Dvärgpipistrell),-,-,20220502 23:15
Batlife_Ottenby_2022-05-03_00-10-35_0000286.wav,-,-,S,20220503 00:10
Batlife_Ottenby_2022-05-03_02-53-45_0000287.wav,Pipistrellus pipistrellus (Pipistrell),-,-,20220503 02:53
Batlife_Ottenby_2022-05-03_02-53-50_0000288.wav,-,-,S,20220503 02:53
Batlife_Ottenby_2022-05-03_03-14-29_0000289.wav,Pipistrellus pygmaeus (Dvärgpipistrell),-,-,20220503 03:14
Batlife_Ottenby_2022-05-03_03-14-34_0000290.wav,-,-,S,20220503 03:14
Batlife_Ottenby_2022-05-03_20-19-26_0000291.wav,-,-,S,20220503 20:19
Batlife_Ottenby_2022-05-03_21-35-49_0000292.wav,-,-,S,20220503 21:35
